date,low_price,high_price,close_price,open_price,volume
2021-04-02 10:29:00,59619.97,59651.51,59627.92,59626.6,0.68188769
2021-04-02 10:30:00,59605.48,59644.49,59638.03,59627.92,3.76602679
2021-04-02 10:31:00,59617.25,59666.55,59665.44,59635.59,3.44885494
2021-04-02 10:32:00,59656.48,59675.02,59661.86,59665.45,0.51000891
2021-04-02 10:33:00,59641.82,59661.86,59641.83,59661.85,0.45578584
2021-04-02 10:34:00,59632.43,59641.83,59632.43,59641.83,0.86878881
2021-04-02 10:35:00,59632.42,59641.83,59639.23,59632.43,1.2844096
2021-04-02 10:36:00,59606.77,59641.79,59614.57,59641.79,2.03077776
2021-04-02 10:37:00,59559.56,59657.1,59601.2,59614.57,29.81474842
2021-04-02 10:38:00,59591.85,59629.86,59629.86,59601.2,3.56875544
2021-04-02 10:39:00,59608.19,59629.86,59615.0,59629.86,0.81095671
2021-04-02 10:40:00,59574.53,59625.53,59576.46,59615.0,2.04070372
2021-04-02 10:41:00,59570.24,59586.8,59583.21,59576.46,1.24967609
2021-04-02 10:42:00,59570.72,59590.76,59581.26,59583.21,2.57825839
2021-04-02 10:43:00,59570.24,59580.01,59573.8,59580.01,4.59488939
2021-04-02 10:44:00,59565.01,59617.9,59617.9,59573.8,5.33502065
2021-04-02 10:45:00,59550.0,59617.9,59550.0,59617.89,1.2206188
2021-04-02 10:46:00,59519.56,59550.01,59543.36,59550.01,1.9447183
2021-04-02 10:47:00,59492.68,59543.37,59529.4,59543.37,4.22147145
2021-04-02 10:48:00,59529.4,59586.55,59586.55,59529.4,3.11990897
2021-04-02 10:49:00,59518.86,59586.55,59536.56,59586.55,4.29935718
2021-04-02 10:50:00,59536.67,59566.59,59538.38,59540.97,1.12676374
2021-04-02 10:51:00,59540.58,59554.66,59543.91,59544.46,0.44817632
2021-04-02 10:52:00,59540.59,59619.89,59591.19,59540.59,7.11489841
2021-04-02 10:53:00,59573.8,59621.37,59600.09,59591.2,1.51190162
2021-04-02 10:54:00,59585.98,59610.06,59605.35,59600.09,1.08399704
2021-04-02 10:55:00,59586.82,59615.32,59615.32,59588.59,2.0954628
2021-04-02 10:56:00,59621.36,59648.88,59642.57,59621.36,2.44589101
2021-04-02 10:57:00,59602.0,59649.99,59605.2,59640.66,4.02271042
2021-04-02 10:58:00,59605.2,59676.23,59667.88,59605.2,2.16333218
2021-04-02 10:59:00,59624.36,59667.88,59624.37,59667.88,2.68257819
2021-04-02 11:00:00,59622.6,59674.0,59665.58,59628.96,2.0730434
2021-04-02 11:01:00,59646.96,59680.0,59646.96,59669.93,2.53663986
2021-04-02 11:02:00,59608.22,59646.95,59608.23,59646.95,1.88276856
2021-04-02 11:03:00,59599.62,59635.06,59605.67,59608.23,2.1985208
2021-04-02 11:04:00,59601.9,59621.62,59618.71,59609.4,2.39704076
2021-04-02 11:05:00,59586.82,59619.74,59586.83,59610.87,2.53957477
2021-04-02 11:06:00,59584.41,59605.95,59602.16,59586.83,4.78000831
2021-04-02 11:07:00,59593.39,59626.72,59626.72,59605.94,2.02077875
2021-04-02 11:08:00,59608.14,59634.49,59608.14,59632.44,1.11167276
2021-04-02 11:09:00,59548.3,59601.23,59549.5,59601.23,1.10005633
2021-04-02 11:10:00,59549.5,59587.71,59584.15,59549.5,1.68988032
2021-04-02 11:11:00,59547.9,59607.08,59547.9,59584.13,2.71149788
2021-04-02 11:12:00,59544.51,59562.03,59551.39,59547.9,1.29263624
2021-04-02 11:13:00,59551.38,59557.61,59555.69,59551.38,0.40245422
2021-04-02 11:14:00,59555.69,59595.38,59588.35,59555.69,12.99718058
2021-04-02 11:15:00,59551.39,59590.23,59551.39,59587.52,0.95782253
2021-04-02 11:16:00,59551.39,59559.56,59551.4,59551.39,1.28968741
2021-04-02 11:17:00,59551.4,59591.98,59591.98,59551.4,8.06954004
2021-04-02 11:18:00,59585.0,59595.15,59595.15,59591.41,1.7209974
2021-04-02 11:19:00,59595.15,59641.65,59641.64,59595.15,6.47100564
2021-04-02 11:20:00,59606.74,59669.91,59630.01,59641.65,19.00397605
2021-04-02 11:21:00,59541.33,59630.01,59541.33,59630.01,4.42433566
2021-04-02 11:22:00,59517.55,59550.01,59518.98,59541.34,5.65377738
2021-04-02 11:23:00,59469.08,59522.0,59483.2,59518.98,8.48336423
2021-04-02 11:24:00,59478.06,59507.13,59505.01,59483.2,3.19563878
2021-04-02 11:25:00,59498.57,59505.01,59498.57,59501.14,1.72414123
2021-04-02 11:26:00,59496.3,59518.3,59518.3,59498.58,4.57362137
2021-04-02 11:27:00,59484.46,59548.87,59484.46,59521.99,1.91778098
2021-04-02 11:28:00,59487.45,59533.2,59529.72,59487.45,0.93209444
2021-04-02 11:29:00,59523.22,59541.5,59527.73,59529.72,0.88007227
2021-04-02 11:30:00,59527.73,59549.08,59540.85,59527.73,2.24631407
2021-04-02 11:31:00,59540.84,59540.86,59540.85,59540.86,0.39795796
2021-04-02 11:32:00,59481.5,59540.86,59481.5,59540.85,2.35004881
2021-04-02 11:33:00,59481.0,59520.01,59520.0,59487.07,6.70272686
2021-04-02 11:34:00,59482.99,59520.01,59482.99,59520.0,3.52314536
2021-04-02 11:35:00,59475.0,59493.19,59475.01,59488.27,2.33177122
